,open,high,low,close,volume,movement,000001.SS,AAPL,CL=F,GC=F,HG=F,NVDA,^DJI,^GSPC,^N100,^N225
2017-10-04,4319.3701171875,4352.31005859375,4210.419921875,4229.35986328125,1116770048,2.3419689071315863,3348.943115234375,35.976985931396484,49.97999954223633,1273.699951171875,2.944499969482422,4.4697699546813965,22661.640625,2537.739990234375,1044.1800537109375,20626.66015625
2017-10-05,4229.8798828125,4362.64013671875,4164.0498046875,4328.41015625,1161769984,0.9795721942507329,3348.943115234375,36.424713134765625,50.790000915527344,1269.9000244140625,3.0315001010894775,4.46729850769043,22775.390625,2552.070068359375,1048.1400146484375,20628.560546875
2017-10-06,4324.4599609375,4413.27001953125,4320.52978515625,4370.81005859375,1069939968,1.2830591440306849,3348.943115234375,36.403621673583984,49.290000915527344,1271.5999755859375,3.0144999027252197,4.4803972244262695,22773.669921875,2549.330078125,1043.3299560546875,20690.7109375
2017-10-07,4369.35009765625,4443.8798828125,4321.0498046875,4426.89013671875,906928000,4.147151568709995,3348.943115234375,36.403621673583984,49.290000915527344,1271.5999755859375,3.0144999027252197,4.4803972244262695,22773.669921875,2549.330078125,1043.3299560546875,20690.7109375
2017-10-08,4429.669921875,4624.14013671875,4405.64013671875,4610.47998046875,1313869952,3.5037575208400673,3348.943115234375,36.403621673583984,49.290000915527344,1271.5999755859375,3.0144999027252197,4.4803972244262695,22773.669921875,2549.330078125,1043.3299560546875,20690.7109375
2017-10-09,4614.52001953125,4878.7099609375,4564.25,4772.02001953125,1968739968,0.20893070026830607,3374.3779296875,36.53019332885742,49.58000183105469,1281.800048828125,3.0169999599456787,4.581470012664795,22761.0703125,2544.72998046875,1045.43994140625,20690.7109375
2017-10-10,4776.2099609375,4922.169921875,4765.10009765625,4781.990234375,1597139968,0.9303604548152045,3382.988037109375,36.54426193237305,50.91999816894531,1290.5999755859375,3.0455000400543213,4.668953895568848,22830.6796875,2550.639892578125,1045.969970703125,20823.509765625
2017-10-11,4789.25,4873.72998046875,4751.6298828125,4826.47998046875,1222279936,12.854713544693785,3388.283935546875,36.696632385253906,51.29999923706055,1285.800048828125,3.0799999237060547,4.718625068664551,22872.890625,2555.239990234375,1046.8499755859375,20881.26953125
2017-10-12,4829.580078125,5446.91015625,4822.0,5446.91015625,2791610112,3.6773106025563607,3386.10009765625,36.56771469116211,50.599998474121094,1293.300048828125,3.1040000915527344,4.720849990844727,22841.009765625,2550.929931640625,1047.5699462890625,20954.720703125
2017-10-13,5464.16015625,5840.2998046875,5436.85009765625,5647.2099609375,3615480064,3.26851807178703,3390.52294921875,36.79977035522461,51.45000076293945,1301.5,3.118499994277954,4.8088274002075195,22871.720703125,2553.169921875,1048.1800537109375,21155.1796875
