,open,high,low,close,volume,000001.SS,AAPL,CL=F,GC=F,HG=F,NVDA,^DJI,^GSPC,^N100,^N225,open_ch,high_ch,low_ch,close_ch,volume_ch,000001.SS_ch,AAPL_ch,CL=F_ch,GC=F_ch,HG=F_ch,NVDA_ch,^DJI_ch,^GSPC_ch,^N100_ch,^N225_ch
2021-02-26,1.2358022168586735,1.2422116675953279,1.1598688989848793,1.1952010883462627,16.344223808996524,0.9537543370576409,0.39694547688320375,-0.050243542637006956,0.3418242086480266,1.1324690671634154,-0.20742401658363127,0.47168733335079255,0.44617105472272156,0.050051601080769594,0.6851819516142348,-1.4677996514100689,-2.1954995018671903,-1.630670062887532,-0.5010011608815838,13.835704695139444,-1.9835123189683226,0.10070261949132024,-0.5270399806060752,-3.4149666177480458,-3.5120476612425677,1.1414399755640263,-1.672797377852098,-0.5483869953110954,-1.8076050794637042,-3.766887358554522
2021-02-27,1.1982559586329777,1.2370449761292077,1.1972836865647343,1.1884128367943665,1.3426776672966647,0.9537543370576409,0.39694547688320375,-0.050243542637006956,0.3418242086480266,1.1324690671634154,-0.20742401658363127,0.47168733335079255,0.44617105472272156,0.050051601080769594,0.6851819516142348,-0.5487426582426508,-0.13556718338210827,0.4546390941052891,-0.14851579591891267,-2.3828151353635514,-0.013496175326321913,-0.05013319442247785,0.012834432916343235,-0.030477207921904156,-0.012136516650380635,-0.07307922136197087,-0.031023819783486613,-0.03573495620949971,-0.02001484435230962,-0.028023770006992858
2021-02-28,1.1914826548568076,1.169476282132163,1.1041165914333309,1.1412753652267598,1.7131191416623863,0.9537543370576409,0.39694547688320375,-0.050243542637006956,0.3418242086480266,1.1324690671634154,-0.20742401658363127,0.47168733335079255,0.44617105472272156,0.050051601080769594,0.6851819516142348,-0.1479276848366875,-1.047587423674658,-1.3151087265273596,-0.6872432563777381,0.2737353307787815,-0.013496175326321913,-0.05013319442247785,0.012834432916343235,-0.030477207921904156,-0.012136516650380635,-0.07307922136197087,-0.031023819783486613,-0.03573495620949971,-0.02001484435230962,-0.028023770006992858
2021-03-01,1.1450037227543564,1.3043457523398165,1.1902098610101894,1.3428688238414772,1.7351211995933575,1.074809843977258,0.49375653326451013,-0.09782460851052183,0.32763186554425344,1.164965423084287,-0.20349481486837517,0.5529832597755648,0.5289641820853965,0.15596951978912577,0.7946814902632866,-0.678532725558452,1.975332161390748,1.1561062274376073,2.6945130112649727,-0.12658775735305533,1.1076793924729,3.589678981004107,-0.22343060442372165,-0.4507976525326782,0.5194270335677327,0.29538156633008095,2.109452566775248,2.5318089454572337,1.993855081976223,2.231105929600939
2021-03-02,1.34505188262708,1.3194479001284507,1.2873445955516496,1.2866881779720518,1.4223407307074485,0.9523555174965421,0.45417219630407374,-0.14706541029197537,0.35449599880673066,1.31054852737867,-0.2169420460919567,0.5335751499344549,0.5001733477234611,0.15895365361787508,0.7545970211481503,2.6753046887170746,0.15363844737744914,1.2550151979025326,-0.7559139095328712,-0.45155109946319205,-1.1341124080133576,-1.4623392906480999,-0.23513967471143396,0.7677175654672166,2.3548068375780002,-1.322500093640844,-0.5322551699517885,-0.9078356550053958,0.03568542895387856,-0.8355772488631634
2021-03-03,1.2913045570984463,1.4253015305807197,1.3353881618994938,1.3835601289747639,1.7021491357288014,1.1477523829276575,0.4088059709779569,-0.06241550210834911,0.30938461146367036,1.2085100069761208,-0.2355148197671784,0.5172079238985978,0.4539965919679307,0.173723665063667,0.7782915911008103,-0.7261524530219525,1.4286789591211044,0.5618200255575012,1.1759290729840521,0.15966552162803507,1.7964563896044055,-1.7031508589361406,0.445476744359612,-1.3626416716877054,-1.62720597669432,-1.8547868339556088,-0.4556605749139395,-1.4458661727080415,0.25553232638991097,0.45347854574611834
2021-03-04,1.3859456559128023,1.3901266730963762,1.3070167487864193,1.2948614186039693,1.6590218329773505,0.9377639369126186,0.38019243801876956,0.07866795960425646,0.27111555768848256,0.9979345007482119,-0.24893108264033875,0.470578230808023,0.4071989741428362,0.15814417721615973,0.6795459211481154,1.148268492854346,-0.532346639238557,-0.4177185633824175,-1.1399750626959313,-0.19047790248056698,-1.9214636476367808,-1.118867351915414,0.7159031389982131,-1.1723110254234106,-3.4081339080977995,-1.4205750082671373,-1.245497951821281,-1.4837458951497295,-0.30992389388661506,-2.0244092756888943
2021-03-05,1.2963012594825303,1.287305150669448,1.2558052459453986,1.3112876379459282,1.476190210582907,0.9334648189804546,0.39931759880198786,0.2037061819138706,0.26554009376660354,1.1227199744422232,-0.24611349414410863,0.5476983716801227,0.47428618605670414,0.10189760756378678,0.6692176446549559,-1.15247989729561,-1.4615954443406394,-0.7148670208843233,0.1502590537386977,-0.330726801069049,-0.053376697061264675,0.6756806168679196,0.6110508703792226,-0.19830979442264127,2.0819938956331563,0.2198522645128359,2.000046760868253,2.0683065655767336,-1.0694893443017426,-0.24137508724839518
2021-03-06,1.3130235661546765,1.2763483436572312,1.288662714186588,1.3106181885867376,0.7748212257542542,0.9334648189804546,0.39931759880198786,0.2037061819138706,0.26554009376660354,1.1227199744422232,-0.24611349414410863,0.5476983716801227,0.47428618605670414,0.10189760756378678,0.6692176446549559,0.1548491938260908,-0.2166522900685296,0.37183775971957944,-0.06666043299454558,-0.9022133156970832,-0.013496175326321913,-0.05013319442247785,0.012834432916343235,-0.030477207921904156,-0.012136516650380635,-0.07307922136197087,-0.031023819783486613,-0.03573495620949971,-0.02001484435230962,-0.028023770006992858
2021-03-07,1.3138973879793527,1.3747068022917759,1.3649988901501982,1.4135491820356936,1.2062880944213368,0.9334648189804546,0.39931759880198786,0.2037061819138706,0.26554009376660354,1.1227199744422232,-0.24611349414410863,0.5476983716801227,0.47428618605670414,0.10189760756378678,0.6692176446549559,-0.04673214871378288,1.3508476896957333,0.9268348087445224,1.238821354710335,0.508336992262356,-0.013496175326321913,-0.05013319442247785,0.012834432916343235,-0.030477207921904156,-0.012136516650380635,-0.07307922136197087,-0.031023819783486613,-0.03573495620949971,-0.02001484435230962,-0.028023770006992858
2021-03-08,1.4152305333887532,1.4155821259090626,1.3919909728001285,1.4601998132054388,1.4747886476022138,0.7029745527681225,0.32429996499023517,0.14616670059272382,0.21409250197431426,1.1441674825756973,-0.2729228452907338,0.5889620934606403,0.45548510041980833,0.20209979549359292,0.6502107213899644,1.2202721993994337,0.5006338560472988,0.2777314067383291,0.5032856619252961,0.17730687402274561,-2.152543563777384,-2.8668598545756905,-0.25303635544437786,-1.5811588372170264,0.33933782630795034,-2.839912079533646,1.035974383971615,-0.6141132392427656,1.8679482084025152,-0.4215448799358733
2021-03-09,1.4646001502219217,1.5259388360795096,1.5057622206151102,1.5758400048161363,1.588621700510048,0.5252811700498655,0.3944250540323069,0.0886267971617327,0.31267909128300725,1.034979999400801,-0.24416600115975892,0.5930462655110856,0.5048758484399366,0.25252937263600367,0.6949043418008249,0.5374571625306721,1.4271391153681108,1.3435632614056277,1.3059798675373155,-0.025647998177307528,-1.7014031175434332,2.6973897723458227,-0.2572889722890535,2.976975641754619,-1.794268409092549,3.1170109220079603,0.07356817245994822,1.4918606384869255,0.9138326083093875,0.901214766860731
2021-03-10,1.579214369457867,1.632958080644947,1.5659183691677412,1.6289779858231888,1.9025306569938183,0.5208472682059232,0.37796873253126567,0.11241733009849014,0.32509750751251265,1.0642266577479418,-0.2457721337666826,0.6556253954764979,0.5262156691749278,0.3026051511680537,0.696257774066613,1.2950172258441166,1.3161178526595732,0.6472663339423915,0.5391687877919449,0.1742424970263238,-0.056392583198250905,-0.6697113255445407,0.1263346618765732,0.3397705072497009,0.4751962979474144,-0.23800382934464254,1.570046241032246,0.6150677909897114,0.899332403728014,-0.00016012902231427495
